Pane,"Cumulative biomass",,,,,,,,,,,,,,,,,,,,,
Data,"1: Seabirds","2: Whales","3: Seals","4: JuvRoundfish1","5: AduRoundfish1","6: JuvRoundfish2","7: AduRoundfish2","8: JuvFlatfish1","9: AduFlatfish1","10: JuvFlatfish2","11: AduFlatfish2","12: OtherGroundfish","13: Foragefish1","14: Foragefish2","15: OtherForagefish","16: Megabenthos","17: Shellfish","18: Macrobenthos","19: Zooplankton","20: Phytoplankton","21: Detritus","22: Discards"
25.5833333333333,0.0149496244266629,0.454278260469437,0.0250122305005789,0.130366489291191,1.38944590091705,1.2435085773468,5.54517984390259,0.0698557198047638,5.76627683639526,0.0964434742927551,0.739037811756134,7.4102201461792,5.10474157333374,4.70328044891357,5.08834886550903,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.6666666666667,0.0149496356025338,0.454277962446213,0.0250122677534819,0.130366459488869,1.3894454240799,1.24350845813751,5.54517936706543,0.0698557272553444,5.76627731323242,0.0964434370398521,0.739037871360779,7.4102201461792,5.10474109649658,4.70328044891357,5.08834934234619,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.75,0.0149496467784047,0.454277664422989,0.0250123050063849,0.130366429686546,1.38944494724274,1.24350845813751,5.54517889022827,0.0698557272553444,5.76627731323242,0.0964434146881104,0.739037871360779,7.4102201461792,5.10474061965942,4.70327997207642,5.08834981918335,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.8333333333333,0.0149496579542756,0.454277366399765,0.0250123422592878,0.130366414785385,1.38944447040558,1.24350845813751,5.54517841339111,0.069855734705925,5.76627779006958,0.096443384885788,0.739037930965424,7.4102201461792,5.10474014282227,4.70327997207642,5.08835029602051,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
25.9166666666667,0.0149496691301465,0.454277068376541,0.0250123795121908,0.130366384983063,1.38944399356842,1.24350845813751,5.54517793655396,0.0698557421565056,5.76627826690674,0.0964433625340462,0.739037990570068,7.4102201461792,5.10473966598511,4.70327997207642,5.08835077285767,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26,0.0149496803060174,0.454276770353317,0.0250124167650938,0.13036635518074,1.38944363594055,1.24350845813751,5.5451774597168,0.0698557496070862,5.7662787437439,0.0964433327317238,0.739038050174713,7.4102201461792,5.10473918914795,4.70327997207642,5.08835124969482,19.7863636016846,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.0833333333333,0.0149496905505657,0.454276472330093,0.0250124540179968,0.130366325378418,1.38944315910339,1.24350845813751,5.54517698287964,0.0698557570576668,5.7662787437439,0.0964433029294014,0.739038109779358,7.4102201461792,5.10473871231079,4.70327949523926,5.08835172653198,19.7863655090332,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.1666666666667,0.014949700795114,0.45427617430687,0.0250124912708998,0.130366310477257,1.38944268226624,1.24350845813751,5.54517650604248,0.0698557645082474,5.76627922058105,0.0964432805776596,0.739038228988647,7.4102201461792,5.10473823547363,4.7032790184021,5.08835220336914,19.7863674163818,6.99944305419922,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.25,0.0149497110396624,0.454275906085968,0.0250125285238028,0.130366280674934,1.38944232463837,1.24350845813751,5.54517650604248,0.069855771958828,5.76627969741821,0.0964432582259178,0.739038288593292,7.4102201461792,5.10473775863647,4.7032790184021,5.0883526802063,19.7863693237305,6.99944257736206,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.3333333333333,0.0149497212842107,0.454275637865067,0.0250125657767057,0.130366250872612,1.38944184780121,1.24350833892822,5.54517602920532,0.0698557794094086,5.76628017425537,0.096443235874176,0.739038348197937,7.4102201461792,5.10473728179932,4.7032790184021,5.08835315704346,19.7863693237305,6.99944257736206,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.4166666666667,0.014949731528759,0.454275369644165,0.0250126030296087,0.13036622107029,1.38944149017334,1.24350833892822,5.54517555236816,0.0698557868599892,5.76628065109253,0.0964432135224342,0.739038467407227,7.4102201461792,5.10473680496216,4.7032790184021,5.08835363388062,19.7863712310791,6.99944257736206,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.5,0.0149497417733073,0.454275101423264,0.0250126402825117,0.130366191267967,1.38944113254547,1.24350821971893,5.54517555236816,0.0698557943105698,5.76628065109253,0.0964431911706924,0.739038527011871,7.4102201461792,5.104736328125,4.7032790184021,5.08835411071777,19.7863712310791,6.9994421005249,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.5833333333333,0.0149497520178556,0.454274833202362,0.0250126775354147,0.130366161465645,1.3894407749176,1.24350810050964,5.54517507553101,0.0698558017611504,5.76628112792969,0.0964431762695313,0.739038646221161,7.4102201461792,5.10473585128784,4.7032790184021,5.08835506439209,19.7863731384277,6.99944162368774,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.6666666666667,0.014949762262404,0.454274564981461,0.0250127147883177,0.130366131663322,1.38944041728973,1.24350798130035,5.54517459869385,0.069855809211731,5.76628112792969,0.0964431539177895,0.739038705825806,7.4102201461792,5.10473537445068,4.7032790184021,5.08835554122925,19.7863731384277,6.99944114685059,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.75,0.0149497725069523,0.454274296760559,0.0250127520412207,0.130366101861,1.38943994045258,1.24350786209106,5.54517412185669,0.0698558166623116,5.76628160476685,0.0964431390166283,0.739038825035095,7.4102201461792,5.10473489761353,4.7032790184021,5.08835601806641,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.8333333333333,0.014949781820178,0.454274028539658,0.0250127874314785,0.130366057157516,1.38943958282471,1.24350786209106,5.54517412185669,0.0698558241128922,5.76628160476685,0.0964431166648865,0.73903888463974,7.4102201461792,5.10473442077637,4.7032790184021,5.08835649490356,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
26.9166666666667,0.0149497911334038,0.454273760318756,0.0250128228217363,0.130366027355194,1.38943910598755,1.24350774288177,5.54517364501953,0.0698558315634727,5.76628160476685,0.0964431017637253,0.73903900384903,7.4102201461792,5.10473394393921,4.7032790184021,5.08835697174072,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27,0.0149498004466295,0.454273492097855,0.0250128582119942,0.130366012454033,1.38943874835968,1.24350762367249,5.54517316818237,0.0698558390140533,5.76628160476685,0.0964430868625641,0.739039123058319,7.4102201461792,5.10473346710205,4.7032790184021,5.08835744857788,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.0833333333333,0.0149498097598553,0.454273223876953,0.025012893602252,0.130365982651711,1.38943839073181,1.2435075044632,5.54517316818237,0.0698558464646339,5.76628160476685,0.0964430645108223,0.739039242267609,7.4102201461792,5.10473299026489,4.7032790184021,5.08835792541504,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.1666666666667,0.014949819073081,0.454272955656052,0.0250129289925098,0.130365952849388,1.38943803310394,1.2435075044632,5.54517269134521,0.0698558464646339,5.766282081604,0.0964430496096611,0.739039361476898,7.41022062301636,5.10473251342773,4.7032790184021,5.08835887908936,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.25,0.0149498283863068,0.45427268743515,0.0250129643827677,0.130365923047066,1.38943767547607,1.24350738525391,5.54517269134521,0.0698558539152145,5.766282081604,0.0964430347084999,0.739039480686188,7.41022062301636,5.10473203659058,4.70327854156494,5.08835935592651,19.7863731384277,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.3333333333333,0.0149498376995325,0.454272419214249,0.0250129997730255,0.130365893244743,1.38943731784821,1.24350738525391,5.54517221450806,0.0698558613657951,5.766282081604,0.0964430272579193,0.739039599895477,7.41022109985352,5.10473155975342,4.70327806472778,5.08835983276367,19.7863750457764,6.99944067001343,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.4166666666667,0.0149498470127583,0.454272150993347,0.0250130351632833,0.130365863442421,1.38943696022034,1.24350738525391,5.54517221450806,0.0698558688163757,5.766282081604,0.0964430123567581,0.739039719104767,7.41022157669067,5.10473108291626,4.70327806472778,5.08836030960083,19.7863750457764,6.99944019317627,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.5,0.014949856325984,0.454271882772446,0.0250130705535412,0.130365833640099,1.38943660259247,1.24350738525391,5.5451717376709,0.0698558688163757,5.766282081604,0.0964429974555969,0.739039838314056,7.41022205352783,5.1047306060791,4.70327758789063,5.08836078643799,19.7863750457764,6.99944019317627,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.5833333333333,0.0149498656392097,0.454271614551544,0.025013105943799,0.130365818738937,1.3894362449646,1.24350726604462,5.5451717376709,0.0698558762669563,5.76628255844116,0.0964429825544357,0.739039957523346,7.41022253036499,5.10473012924194,4.70327711105347,5.08836126327515,19.7863750457764,6.99944019317627,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.6666666666667,0.0149498740211129,0.454271346330643,0.0250131413340569,0.130365788936615,1.38943600654602,1.24350726604462,5.54517126083374,0.0698558837175369,5.76628255844116,0.0964429751038551,0.739040076732636,7.41022300720215,5.10472965240479,4.70327663421631,5.0883617401123,19.7863750457764,6.99944019317627,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.75,0.0149498824030161,0.454271078109741,0.0250131767243147,0.130365759134293,1.38943552970886,1.24350726604462,5.54517078399658,0.0698558911681175,5.76628255844116,0.0964429602026939,0.739040195941925,7.41022348403931,5.10472917556763,4.70327615737915,5.08836221694946,19.7863750457764,6.99943971633911,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.8333333333333,0.0149498907849193,0.45427080988884,0.0250132121145725,0.13036572933197,1.38943529129028,1.24350726604462,5.54517030715942,0.0698558911681175,5.76628255844116,0.0964429527521133,0.739040315151215,7.41022396087646,5.10472869873047,4.70327615737915,5.08836269378662,19.7863750457764,6.99943971633911,17.3971939086914,22.9971237182617,10.0009860992432,0,0
27.9166666666667,0.0149498991668224,0.454270541667938,0.0250132475048304,0.130365699529648,1.38943493366241,1.24350726604462,5.54516983032227,0.0698558986186981,5.76628303527832,0.0964429378509521,0.739040434360504,7.41022443771362,5.10472822189331,4.70327615737915,5.08836317062378,19.7863750457764,6.99943971633911,17.3971939086914,22.9971237182617,10.0009860992432,0,0
28,0.0149499075487256,0.454270273447037,0.0250132828950882,0.130365684628487,1.38943469524384,1.24350714683533,5.54516935348511,0.0698558986186981,5.76628303527832,0.0964429378509521,0.739040613174438,7.41022491455078,5.10472774505615,4.70327615737915,5.08836364746094,19.786376953125,6.99943971633911,17.3971939086914,22.9971237182617,10.0009860992432,0,0
28.0833333333333,0.0149499159306288,0.454270005226135,0.025013318285346,0.130365669727325,1.38943445682526,1.24350714683533,5.54516839981079,0.0698559060692787,5.76628303527832,0.0964429304003716,0.739040732383728,7.41022539138794,5.10472726821899,4.70327615737915,5.0883641242981,19.786376953125,6.99943971633911,17.3971939086914,22.9971237182617,10.0009860992432,0,0
28.1666666666667,0.0149499243125319,0.454269737005234,0.0250133536756039,0.130365639925003,1.3894339799881,1.24350714683533,5.54516839981079,0.0698559135198593,5.76628351211548,0.096442922949791,0.739040851593018,7.41022539138794,5.10472679138184,4.70327568054199,5.08836460113525,19.786376953125,6.99943971633911,17.3971939086914,22.9971256256104,10.0009860992432,0,0
28.25,0.0149499326944351,0.454269468784332,0.0250133890658617,0.130365625023842,1.38943362236023,1.24350714683533,5.54516792297363,0.0698559135198593,5.76628351211548,0.0964429154992104,0.739040970802307,7.41022539138794,5.10472631454468,4.70327568054199,5.08836507797241,19.786376953125,6.99943923950195,17.3971939086914,22.9971256256104,10.0009841918945,0,0
28.3333333333333,0.0149499410763383,0.454269200563431,0.0250134244561195,0.130365595221519,1.38943326473236,1.24350702762604,5.54516744613647,0.0698559209704399,5.76628351211548,0.0964429080486298,0.739041149616241,7.4102258682251,5.10472583770752,4.70327568054199,5.08836555480957,19.786376953125,6.99943876266479,17.3971939086914,22.9971256256104,10.0009841918945,0,0
28.4166666666667,0.0149499494582415,0.454268932342529,0.0250134579837322,0.130365565419197,1.38943290710449,1.24350714683533,5.54516696929932,0.0698559209704399,5.76628398895264,0.0964429005980492,0.739041209220886,7.41022634506226,5.10472536087036,4.70327568054199,5.08836603164673,19.786376953125,6.99943828582764,17.3971939086914,22.9971256256104,10.0009841918945,0,0
28.5,0.0149499578401446,0.454268664121628,0.0250134915113449,0.130365550518036,1.38943254947662,1.24350702762604,5.54516649246216,0.0698559284210205,5.76628398895264,0.0964428931474686,0.739041328430176,7.41022682189941,5.1047248840332,4.70327568054199,5.08836650848389,19.786376953125,6.99943828582764,17.3971939086914,22.9971256256104,10.0009841918945,0,0
