EwE version,"6.4.11414.0 (compiled 10/10/2014)"
Date,"7/24/2015 3:59:21 PM"
ModelName,REcosystem
EcosimScenario,"Double F on RF1"
TimeSeries,(none)
StartYear,0

Data, Biomass

Seabirds,Whales,Seals,JuvRoundfish1,AduRoundfish1,JuvRoundfish2,AduRoundfish2,JuvFlatfish1,AduFlatfish1,JuvFlatfish2,AduFlatfish2,OtherGroundfish,Foragefish1,Foragefish2,OtherForagefish,Megabenthos,Shellfish,Macrobenthos,Zooplankton,Phytoplankton,Detritus,Discards
0.01493529, 0.4543667, 0.02500164, 0.1304014, 1.389813, 1.24, 5.578207, 0.0698529, 5.766045, 0.09655156, 0.7399047, 7.382385, 5.095211, 4.695601, 5.092628, 19.73877, 7.000642, 17.39602, 22.99924, 10.00028, 3636.414, 1.217671
0.01493518, 0.4543666, 0.02500169, 0.1303997, 1.389784, 1.23976, 5.578647, 0.06985281, 5.766032, 0.09655074, 0.7399107, 7.381711, 5.095032, 4.695445, 5.092739, 19.73781, 7.000668, 17.39608, 22.99929, 10.00026, 3636.41, 1.217636
0.01493507, 0.4543664, 0.02500173, 0.1303979, 1.389754, 1.239517, 5.579068, 0.06985275, 5.766021, 0.09655005, 0.7399168, 7.381039, 5.094855, 4.69529, 5.092861, 19.73686, 7.000694, 17.39614, 22.99934, 10.00024, 3636.407, 1.2176
0.01493495, 0.4543663, 0.02500178, 0.1303962, 1.389724, 1.239273, 5.57947, 0.06985272, 5.76601, 0.09654951, 0.7399231, 7.380369, 5.094679, 4.695138, 5.092995, 19.73593, 7.000721, 17.39622, 22.99938, 10.00023, 3636.403, 1.217564
0.01493483, 0.4543662, 0.02500181, 0.1303944, 1.389694, 1.239028, 5.579851, 0.06985269, 5.766, 0.09654907, 0.7399295, 7.379702, 5.094506, 4.694989, 5.093141, 19.73501, 7.000747, 17.3963, 22.99943, 10.00021, 3636.4, 1.217529
0.01493471, 0.4543661, 0.02500184, 0.1303926, 1.389665, 1.238784, 5.580211, 0.06985269, 5.76599, 0.09654874, 0.7399361, 7.379039, 5.094336, 4.694843, 5.093297, 19.73411, 7.000774, 17.39638, 22.99947, 10.0002, 3636.396, 1.217493
0.01493458, 0.4543661, 0.02500186, 0.1303909, 1.389636, 1.238542, 5.58055, 0.0698527, 5.765982, 0.0965485, 0.7399429, 7.378382, 5.094168, 4.694701, 5.093463, 19.73322, 7.000802, 17.39647, 22.99952, 10.00018, 3636.393, 1.217458
0.01493445, 0.454366, 0.02500189, 0.1303891, 1.389607, 1.238303, 5.580866, 0.06985274, 5.765975, 0.09654833, 0.7399499, 7.377731, 5.094003, 4.694562, 5.09364, 19.73236, 7.000829, 17.39656, 22.99956, 10.00016, 3636.389, 1.217422
0.01493432, 0.4543659, 0.0250019, 0.1303873, 1.389579, 1.238068, 5.58116, 0.06985278, 5.765968, 0.09654823, 0.739957, 7.377088, 5.093842, 4.694427, 5.093826, 19.73152, 7.000856, 17.39667, 22.9996, 10.00015, 3636.385, 1.217387
0.01493419, 0.4543658, 0.02500191, 0.1303856, 1.389551, 1.237837, 5.58143, 0.06985285, 5.765963, 0.09654819, 0.7399644, 7.376453, 5.093685, 4.694296, 5.09402, 19.7307, 7.000883, 17.39677, 22.99964, 10.00013, 3636.381, 1.217352
