Group,Transient Killers,Sperm and Beaked Whales,Resident Killers,Porpoises,Gray Whales,Humpbacks,Fin Whales,Sei whales,Right whales,Minke whales,Sea Otters,N. Fur Seal_Juv,N. Fur Seal,Steller Sea Lion_Juv,Steller Sea Lion,Resident seals,Shearwater,Murres,Kittiwakes,Auklets,Puffins,Fulmars,Storm Petrels,Cormorants,Gulls,Albatross Jaeger,Sleeper shark,Salmon shark,Dogfish,W. Pollock_Juv,W. Pollock,P. Cod_Juv,P. Cod,Herring_Juv,Herring,Arrowtooth_Juv,Arrowtooth,P. Halibut_Juv,P. Halibut,YF. Sole,FH. Sole_Juv,FH. Sole,N. Rock sole,S. Rock sole,AK Plaice,Dover Sole,Rex Sole,Misc. Flatfish,Other skates,Longnose skate,Big skate,Sablefish_Juv,Sablefish,Eelpouts,Grenadiers,Misc. fish deep,POP_Juv,POP,Sharpchin Rock,Northern Rock,Dusky Rock,Shortraker Rock,Rougheye Rock,Shortspine Thorns_Juv,Shortspine Thorns,Other Sebastes,Atka mackerel_Juv,Atka mackerel,Greenlings,Lg. Sculpins,Other sculpins,Misc. fish shallow,Octopi ,Squids,Salmon returning,Salmon outgoing,Bathylagidae,Myctophidae,Capelin,Sandlance,Eulachon,Oth. managed forage,Oth. pelagic smelt,Bairdi,King Crab,Misc. crabs,Pandalidae,NP shrimp,Sea stars,Brittle stars,Urchins dollars cucumbers,Snails,Hermit crabs,Misc. Crustacean,Benthic Amphipods,Anemones,Corals,Hydroids,Urochordata,Sea Pens,Sponges,Bivalves,Polychaetes,Misc. worms ,Scyphozoid Jellies,Fish Larvae,Chaetognaths,Euphausiids,Mysids,Pelagic Amphipods,Gelatinous filter feeders,Pteropods,Copepods,Pelagic microbes,Benthic microbes,Macroalgae,Lg Phytoplankton,Sm Phytoplankton,Outside Production
King Crab,,,,,0.000010261,,,,,,,,,,,4.37E-07,,,,,,,,4.56E-06,,,,,4.46E-06,,,,1.03E-06,,,,,,0.000081649,,,,,,,,,,1.91E-05,,,,,,,,,,,,,,,,1.60E-06,,,,,0.01754265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. crabs,,,,,0.002465867,,,,,,0.3566121,,,,,0.000105053,,,,,,,,0.001095362,,,,,0.06680002,0.001530772,0.000736766,0.001062024,0.04977954,,,,6.52E-05,0.08406907,0.1223341,0.003013121,,0.008878542,0.01640887,0.03575107,0.000283834,0.0226151,0.007649118,,,,0.001,0.01046865,0.006306385,0.09892537,,,,0.000010604,,,0.000004907,,,,0.006252835,,,0.002578683,0.004424958,0.01945991,0.01917256,,0.1,,,,,,,,,,,0.01,0.02,1.09E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pandalidae,,,,,0.01752562,,,,,,,,,,,0.000746644,,,,,,,,0.007785052,,,,,0.07570001,0.005959104,0.1029332,0.000704047,0.09640483,,,0.06537875,0.09817549,0.09478685,0.006441645,,0.03455862,0.4708131,,,,,0.01869952,,0.05246216,,,,0.04567808,,0.1149897,0.03442618,,0.007822453,0.000835323,,0.001023118,0.9246571,0.9999291,0.2381381,0.3828347,,,,,0.007460861,0.0419885,0.02573613,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NP shrimp,,,,,0.02012891,,,,,,,,,,,0.000857552,,,,,,,,0.00894146,,,0.0001,,0.008747937,0.06825632,0.08089077,0.1662655,0.1017653,,,0.02234294,0.01736526,0.30384,0.003578418,0.05688879,0.1874399,0.1042413,0.01009235,0.04458455,5.91E-05,0.01361385,0.02510308,,0.01204518,0.021,0.4413333,,0.007442314,0.01367033,0.6694046,0.5507172,,0.005268234,0.03071487,0.003560675,0.04128243,0.02393355,6.25E-05,0.1816458,0.320146,0.1447116,,0.000002708,0.4296037,0.189817,0.5013551,0.03576623,,,,,,,,,,,,,,,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sea stars,,,,,0.000159311,,,,,,,,,,,,,,,,,,,,,,,,6.92E-05,,0.002125038,,0.002172222,,,,,,4.05E-06,,,,,0.000475348,2.04E-08,0.002969333,,,,,,,2.30E-05,,,,,,,,,,,,,,,,,5.38E-05,,,,,,,,,,,,,,,0.008,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brittle stars,,,,,0.007578789,,,,,,,,,,,,,,,,,,,,,,,,0.003293708,,,,0.000314782,,,,8.05E-06,,0.000145755,0.04212553,0.04567024,0.1816687,0.07808806,0.1042438,0.001690993,0.3202121,0.01100408,0.06697158,0.002385664,,,,1.26E-06,0.1822525,,,,,,,,,,,,,,,,0.000102108,0.000181826,,,,,,,,,,,,,0.04,0.035,4.34E-08,,,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Urchins dollars cucumbers,,,,,0.002720157,,,,,,0.3933879,,,,,,,,,,,,,,,,,,0.003,,4.13E-05,,1.60E-05,,,,,,0.001156653,0.02191181,,,0.1057294,0.1288761,0.01513388,0.08936221,,,,,,,2.90E-05,,,,,,,,,,,,,,,,,2.12E-05,,,,,,,,,,,,,,0.02,0.222,2.17E-08,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Snails,,,,,0.001398427,,,,,,,,,,,,,,,,,,,,,,0.006999999,,0.00060775,,5.64E-05,,0.004634243,,,,0.000000003,,0.002387602,0.001117051,,0.00266082,0.0162228,0.000196279,0.00350524,,0.00368345,0.00145237,,,,,0.000849691,,,,,,,0.000156364,2.33E-05,,0,,0.00027233,,,0.003245616,4.26E-05,0.001372771,,,0.4,,,,,,,,,,,0.03,0.2,3.26E-08,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hermit crabs,,,,,0.005725491,,,,,,,,,,,0.000243923,,,,,,,,,,,0.0001,,0.002488273,0.08658516,0.01056238,0.06367794,0.1010113,,,,1.71E-05,0.3152555,0.1033776,0.1085725,0.09725897,0.05232922,0.01014735,0.02065348,0.000109987,3.73E-05,7.08E-05,,0.004762365,,,0.001070693,0.01331191,0.002508452,,,,0.000395177,8.13E-06,0.000117273,0.5883591,,1.10E-09,,0.07313163,,,0.001031473,,0.01917778,,,0.1,,,,,,,,,,,0.01,0.02,1.09E-08,,,0.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Misc. Crustacean,,,,,0.003595104,,,,,,,,,,,,0.01,0.006044258,0.00333201,0.000628077,0.06267339,7.16E-05,0.001002591,0.001596981,0.001145819,,,,0.0009,0.000596757,0.001003377,0.004215596,0.00395656,,,0.000109836,0.000145282,,0.000444517,0.005592815,,0.00274386,0.01517372,0.05829112,0.001749694,0.00124379,0.01126606,0.9279879,0.007583537,,0.002,0.000553192,5.87E-05,0.005357116,,,,1.67E-05,0.000006653,,9.81E-06,,1.08E-07,,0.01493906,0.08234625,,2.17E-05,0.000632137,0.000792121,0.01442491,,,,,,,,,,,,,0.005,0.02,5.40E-09,,,,,,,,,,0.125,0.125,0.125,0.125,0.125,0.125,0.125,,,,,,,,,,,,,,,,,
